CLASS,SMALL_OFFICE
HEADER,ENDUSE,DENSITY,DEMAND,ELECTRONIC,MOTORA,MOTORB,MOTORC,MOTORD,IP,IQ,PP,PQ,ZP,ZQ,PF
COMPOSITION,HEATING,0.01,0.1,0,0.3,0,0,0,0,0,0,0,0.7,0,1
COMPOSITION,COOLING,0.98,9.8,0.15,0.7,0,0.15,0,0,0,0,0,0,0,1
COMPOSITION,VENTILATION,0.34,3.4,0,0,1,0,0,0,0,0,0,0,0,1
COMPOSITION,HOTWATER,0.07,0.7,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,COOKING,0.04,0.4,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,REFRIGERATION,0.08,0.8,0,0.85,0,0,0.15,0,0,0,0,0,0,1
COMPOSITION,OUTDOOR_LIGHTS,0,0,0,0,0,0,0,1,0,0,0,0,0,1
COMPOSITION,INDOOR_LIGHTS,1.05,10.5,0,0,0,0,0,1,0,0,0,0,0,1
COMPOSITION,OFFICE_EQUIPMENT,0.49,4.9,1,0,0,0,0,0,0,0,0,0,0,1
COMPOSITION,MISCELLANEOUS,0.24,2.4,0,0,0,0,0,0,0,0,0,1,0,1
COMPOSITION,PROCESS,0.01,0.1,0.3,0,0.2,0.4,0,0,0,0,0,0.1,0,1
COMPOSITION,MOTORS,0.24,2.4,0,0,0,0,1,0,0,0,0,0,0,1
COMPOSITION,COMPRESSORS,0.16,1.6,0,0,0,0,1,0,0,0,0,0,0,1
NORMALIZE,FLOORAREA,165,326,330,219,337,339,267,362,359,286,50,79,62,3180
HEADER,CEUSCODE,HEATING,COOLING,VENTILATION,HOTWATER,COOKING,REFRIGERATION,OUTDOOR_LIGHTS,INDOOR_LIGHTS,OFFICE_EQUIPMENT,MISCELLANEOUS,PROCESS,MOTORS,COMPRESSORS,TOTAL
DATA,1306,38.28053906,5.740186523,42.98285938,8.654676758,0.934328979,22.82552734,69.03684375,60.510125,54.80845703,18.03812109,0.029366747,5.503476074,1.473606445,329
DATA,1307,60.04815625,5.805995117,48.78596875,9.218003906,1.989191528,23.03638672,56.09655078,93.64791406,65.84067969,23.5697832,0.047147861,6.688320313,2.229434814,397
DATA,1308,110.8627109,9.298623047,62.78644531,10.4439502,4.272509766,23.54660547,14.46622559,150.8751094,86.68675781,33.15779297,0.081452446,10.59776465,3.354400879,520
DATA,1309,67.08310938,15.3361543,74.30964844,11.89498438,6.709758789,24.17486133,0,205.0455313,106.0148203,42.04610156,0.099852089,12.35772461,3.997301025,569
DATA,1310,42.17532031,24.37948438,75.97246094,13.04632129,8.086233887,24.65344727,0,234.5958281,117.2753516,46.74466406,0.105666122,13.54402734,4.34070752,605
DATA,1311,26.06143555,37.19363672,75.75010156,13.23176953,8.421813477,24.79939258,0,238.7301094,121.6337813,47.94262109,0.107706085,13.94638379,4.494237305,612
DATA,1312,20.07272266,39.88582422,76.07038281,13.15791309,8.432164063,24.81550781,0,233.9795469,122.3096953,48.053,0.107985893,14.00458105,4.504150879,605
DATA,1313,14.25069043,57.23432422,75.33760938,13.26435938,8.29359082,24.79774023,0,232.0484531,122.1723906,47.94221094,0.107985893,14.00810449,4.456686035,614
DATA,1314,11.70000195,64.37785547,75.99657031,13.10525293,8.061688477,24.73564648,0,233.5717031,121.1630781,47.79452734,0.107758209,13.99387305,4.405133789,619
DATA,1315,9.876360352,66.07954688,74.88334375,12.93961035,7.516957031,24.60377734,0,233.4953594,118.9078359,46.91751953,0.105791397,13.70116895,4.284487305,613
DATA,1316,12.17265039,53.12493359,74.76607031,12.68262109,6.460239746,24.37306641,0,223.0423125,112.8465156,44.16069922,0.099567139,12.49112695,3.952282959,580
DATA,1317,19.73750391,32.95449609,73.60160156,12.23095605,4.928436035,23.98651758,0.396761047,195.0989531,102.1586016,38.98103516,0.087256447,10.21344043,3.337785645,518
DATA,1318,23.55299609,21.09933594,65.14062891,11.44422461,3.131719238,23.51621875,53.3770625,163.1520938,81.87265625,31.5959082,0.068299744,7.661449219,2.588782471,488
DATA,1319,23.20530078,8.868621094,36.90495703,10.2664834,1.762003052,23.09098633,71.0345,129.2301094,63.60851563,24.62162695,0.045821751,5.95774707,1.920866699,401
DATA,1320,19.2472793,6.689753906,31.72389844,9.118492188,1.045824951,22.86479883,79.11875781,98.432875,55.19652734,19.58540234,0.033007202,5.322111816,1.433598389,350
DATA,1321,14.00301172,7.723571777,28.12823633,8.596145508,0.770882019,22.77354297,83.87348438,76.38378906,52.95899219,17.00594531,0.027779816,4.930302246,1.201374634,318
DATA,1322,11.69569824,6.48315918,28.67892773,8.464863281,0.575678833,22.69688086,82.20301563,62.38807813,51.77810156,16.26939648,0.026263765,4.502830566,1.166023071,297
DATA,1323,15.51687109,4.841338379,28.59943164,8.450050781,0.509273529,22.67338086,82.03489063,53.65076172,51.48592969,16.15275488,0.026093248,4.289966797,1.151972534,289
DATA,1324,17.47267578,4.722737305,29.49044727,8.440802734,0.501701477,22.65564063,82.03489063,47.64413281,51.45603516,16.07904199,0.026093248,4.19932666,1.113599854,286
DATA,1401,15.8564248,7.131594238,24.647,8.762586914,0.501457123,22.65746289,77.65327344,44.3036875,52.16247266,16.11393652,0.026093258,3.256461182,1.232956177,274
DATA,1402,18.36516016,6.985604004,26.68176172,8.758202148,0.50134317,22.6580918,77.48847656,44.22666797,52.16240234,16.07399023,0.026093258,3.226665283,1.214140869,278
DATA,1403,20.65539453,6.844664551,28.04940039,8.759888672,0.510125641,22.66107227,75.63235156,44.49860156,52.26140234,16.09020313,0.026093258,3.233492676,1.220870728,280
DATA,1404,23.44447266,6.724621582,29.83027148,8.776125,0.56653479,22.67601563,73.22050781,46.12181641,52.81219531,16.25947949,0.026093258,3.282919434,1.256627563,285
DATA,1405,27.55669141,6.720966309,31.95473633,8.794555664,0.655222229,22.70167773,71.67813281,47.78017969,53.35711719,16.60039453,0.02615806,5.457478027,1.334512451,295
